naslov,opis,type,stevilo_epizod,ocena,start_date,end_date,stevilo_glasov,rating
123,"With an American comic touch, the hip-hop song features a semi-biographical representation of the band bless4 who sings the song. They are 4 siblings who grew up in the US after being born in Okinawa...<a href=""https://myanimelist.net/anime/37065/123"">read more.</a>",Music,1,4.79,12-01-04,12-01-04,205,G
15 Bishoujo Hyouryuuki,Centers on Kazuma and 15 beautiful girls who are stranded on a deserted Pacific island by a tumultuous storm.,OVA,3,6.91,08-03-09,05-02-11,"17,811",Rx
15 Sonyeon Uju Pyoryugi,A Korean film about a group of children saving the galaxy.,Movie,1,5.93,??-??-80,??-??-80,365,PG-13
"15-sai, Kyou kara Dousei Hajimemasu.",,ONA,30,0.00,06-08-18,06-29-18,686,PG-13
18if,"Waking up in a strange bedroom in a dream world, teenager Haruto Tsukishiro finds a strange app on his phone. When he activates the program, an odd woman appears and tries to drag him to her realm. Lu...<a href=""https://myanimelist.net/anime/35248/18if"">read more.</a>",TV,13,6.27,07-07-17,09-29-17,"39,667",R
1989,Music video for song &#039;1989&#039; by the pillows from their 20th anniversary compilation album &#039;Rock stock &amp; too smoking the pillows.&#039;,Music,1,5.68,06-03-09,06-03-09,995,G
2,A music video for the song &quot;2&quot; by DALLJUB STEP CLUB.,Music,1,4.83,10-06-17,10-06-17,207,G
20-dai no Heya-hen,"An advertisement for MyNavi Chintai (MyNavi Rental) that began airing on television on January 10, 2015. The &quot;20-dai no Heya-hen&quot; (Rooms for Twentysomethings) commercial shows how the MyNavi Chintai s...<a href=""https://myanimelist.net/anime/29347/20-dai_no_Heya-hen"">read more.</a>",Special,1,5.15,01-07-15,01-07-15,"1,363",G
2002-nen Halmeoni Ondo,A music video for the song by Mika Shinno that was featured on NHK&#039;s Minna no Uta program.,Music,1,5.18,04-04-02,04-04-02,282,G
2005-nen Uchuu no Tabi,Experimental short film by Michio Mihara.,Special,1,4.51,12-31-05,12-31-05,"1,603",G
2010,A music video for The Telephones&#039; song &quot;2010&quot;.,Music,1,4.83,09-22-10,09-22-10,748,G
2020 Nyeon Ujuui Wonder Kiddy,,TV,13,6.13,??-??-89,??-??-89,340,PG
21 Emon,"In 2018 a young boy named 21 Emon dreams of becoming a space pilot and exploring space in general. He is the heir to a long line of hotel owners, which dates back to the founder of during the Tokugawa...<a href=""https://myanimelist.net/anime/5628/21_Emon"">read more.</a>",TV,39,6.22,05-02-91,03-26-92,573,G
21 Emon Uchuu e Irasshai!,"The story tells the adventures of the boy, 21 emon, engaged in the management of a hotel belonging to his family for years. In his problems, 21 emons is helped by the robot Gonsuke and the little alie...<a href=""https://myanimelist.net/anime/6073/21_Emon_Uchuu_e_Irasshai"">read more.</a>",Movie,1,5.76,08-01-81,08-01-81,392,G
21 Emon Uchuu ike! Hadashi no Princess,,Movie,1,6.14,03-07-92,03-07-92,450,G
21 Seiki Manga Hajimete Monogatari,No synopsis has been added for this series yet. Click here to update this information.,Special,1,6.35,03-30-01,03-30-01,397,G
21 Seiki wa Minna ga Shuyaku,An educational film about gender equality in society in the 21st century.,OVA,1,0.00,??-??-01,??-??-01,114,G
21-ji no Onna: Newscaster Katsuragi Miki,"Miki Katsuragi has finally landed her dream job, as an anchorwoman for the nine o&#039;clock news. Unfortunately, this pretty reporter with a spotless reputation has a very dark secret. She&#039;s addicted to m...<a href=""https://myanimelist.net/anime/2863/21-ji_no_Onna__Newscaster_Katsuragi_Miki"">read more.</a>",OVA,3,5.90,04-21-01,11-21-01,"3,067",Rx
24H,"HIFANA&#039;s unique live performances and track-making skills have inspired club music fans around the globe. Their full-length album &quot;24H&quot; was released on July 28, 2010. Based on the concept of &quot;1 day :...<a href=""https://myanimelist.net/anime/15527/24H"">read more.</a>",Music,9,5.38,07-28-10,07-28-10,538,PG-13
25-sai no Joshikousei,"Once most students are done with high school, they leave and never come back. However, at 25 years old, Hana Natori finds herself in the role of a student once more at her aunt&#039;s request. Since Hana&#039;s...<a href=""https://myanimelist.net/anime/36840/25-sai_no_Joshikousei"">read more.</a>",TV,12,5.61,01-08-18,03-26-18,"22,371",R+
2x1,"Noriko has a new passion, one so intense she hasn&#039;t attended school in weeks! When her classmates, Junichi and Satoshi pay a visit, they find that while her illness is not a flu it does make her hot i...<a href=""https://myanimelist.net/anime/2864/2x1"">read more.</a>",OVA,2,5.28,02-25-98,03-25-98,"2,024",Rx
3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!,Tama and Friends movie.,Movie,1,6.14,08-14-93,08-14-93,452,G
3 Choume no Tama: Uchi no Tama Shirimasen ka?,"The characters are Tama, Momo, Wocket, Tiggle, Rockney, Pimmy, Bupkus, Bengpu, and Chopin. There is no consistent plot. Tama and his friends just have little, family friendly, adventures every episode...<a href=""https://myanimelist.net/anime/2467/3_Choume_no_Tama__Uchi_no_Tama_Shirimasen_ka"">read more.</a>",TV,36,6.76,11-21-88,09-25-94,"1,504",G
3-bu de Wakaru Koizumi Yakumo no Kaidan,"Stories from Patrick Lafcadio Hearn&#039;s book Kwaidan: Stories and Studies of Strange Things. The Greek-American author was known as Koizumi Yakumo in Japan and is renowned for collecting and publishing...<a href=""https://myanimelist.net/anime/37666/3-bu_de_Wakaru_Koizumi_Yakumo_no_Kaidan"">read more.</a>",ONA,7,5.50,05-09-14,07-08-15,186,G
3-D Heaven,A music video for song by Psy-S for the Minna no Uta song program.,Music,1,4.77,10-03-88,10-03-88,364,G
3-gatsu no Lion,"Having reached professional status in middle school, Rei Kiriyama is one of the few elite in the world of shogi. Due to this, he faces an enormous amount of pressure, both from the shogi community and...<a href=""https://myanimelist.net/anime/31646/3-gatsu_no_Lion"">read more.</a>",TV,22,8.44,10-08-16,03-18-17,"294,366",PG-13
3-gatsu no Lion 2nd Season,"Now in his second year of high school, Rei Kiriyama continues pushing through his struggles in the professional shogi world as well as his personal life. Surrounded by vibrant personalities at the sho...<a href=""https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season"">read more.</a>",TV,22,9.02,10-14-17,03-31-18,"161,050",PG-13
3-gatsu no Lion meets Bump of Chicken,"A CGI music video of Sangatsu no Lion set to Bump of Chicken&#039;s &quot;Fighter&quot; single. The website states that the collaboration started because the mangaka Umino Chika is a fan of Bump of Chicken and the m...<a href=""https://myanimelist.net/anime/28789/3-gatsu_no_Lion_meets_Bump_of_Chicken"">read more.</a>",Music,1,7.06,12-08-14,12-08-14,"8,743",G
3-gatsu no Lion Recap,Recap of the first 11 episodes of 3-gatsu no Lion.,Special,1,6.74,12-29-16,12-29-16,"10,054",PG-13
3-gatsu no Lion: Ugoku! Nya Shogi,,Special,10,6.10,01-25-17,08-23-17,785,G
3-Nen C-Gumi 14-Ban Kubozono Chiyoko no Nyuukaku,Music video for the song &quot;3-Nen C-Gumi 14-Ban Kubozono Chiyoko no Nyuukaku&quot; by siinamota (Shina Mota) from the CD album &#039;Kokegane no Uta.&#039; Directed by Kenshiro Morii at Studio Moriken.,Music,1,5.49,03-03-13,03-03-13,789,PG
3-Nen D-Gumi Glass no Kamen,The series re-imagines the Glass Mask manga and its characters in a school gag comedy focused on satirizing modern society. (Source: ANN),TV,13,4.83,10-03-16,12-26-16,"1,698",PG
3-Nen D-Gumi Glass no Kamen: Tobidase! Watashitachi no Victory Road,,Movie,1,5.53,07-22-17,07-22-17,502,PG
